កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
នាវាផ្ទុកយន្តហោះ	នាវា|ផ្ទុក|យន្ត|ហោះ	ន・ា・វ・ា・ផ・្・ទ・ុ・ក・យ・ន・្・ត・ហ・ោ・ះ
និមន្ត	និមន្ត	ន・ិ・ម・ន・្・ត
និមន្តន៍	និមន្តន៍	ន・ិ・ម・ន・្・ត・ន・៍
និរន្តរ	និរន្តរ	ន・ិ・រ・ន・្・ត・រ
និរន្តរភាព	និរន្តរ|ភាព	ន・ិ・រ・ន・្・ត・រ・ភ・ា・ព
និរន្តរាយ	និរន្តរាយ	ន・ិ・រ・ន・្・ត・រ・ា・យ
និរន្តរ៍	និរន្តរ៍	ន・ិ・រ・ន・្・ត・រ・៍
និរុទកកន្តារ	និរុទក|កន្តារ	ន・ិ・រ・ុ・ទ・ក・ក・ន・្・ត・ា・រ
និស្សយន្តេវាសិក	និស្ស|យន្តេវាសិក	ន・ិ・ស・្・ស・យ・ន・្・ត・េ・វ・ា・ស・ិ・ក
បច្ចន្តគ្រាម	បច្ចន្ត|គ្រាម	ប・ច・្・ច・ន・្・ត・គ・្・រ・ា・ម
បច្ចន្តជនបទ	បច្ចន្ត|ជនបទ	ប・ច・្・ច・ន・្・ត・ជ・ន・ប・ទ
បច្ចន្តប្រទេស	បច្ចន្ត|ប្រទេស	ប・ច・្・ច・ន・្・ត・ប・្・រ・ទ・េ・ស
បញ្ញវន្ត	បញ្ញវន្ត	ប・ញ・្・ញ・វ・ន・្・ត
បញ្ញវន្តី	បញ្ញវន្តី	ប・ញ・្・ញ・វ・ន・្・ត・ី
បទអន្តរាគមន៍	បទ|អន្តរាគមន៍	ប・ទ・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
បន្ត	បន្ត	ប・ន・្・ត
បន្តកន្ទុយ	បន្ត|កន្ទុយ	ប・ន・្・ត・ក・ន・្・ទ・ុ・យ
បន្តក់	បន្តក់	ប・ន・្・ត・ក・់
បន្តបន្ទាប់	បន្ត|បន្ទាប់	ប・ន・្・ត・ប・ន・្・ទ・ា・ប・់
បន្តពូជ	បន្ត|ពូជ	ប・ន・្・ត・ព・ូ・ជ
បន្តពូជភេទ	បន្ត|ពូជ|ភេទ	ប・ន・្・ត・ព・ូ・ជ・ភ・េ・ទ
បន្តពូជអភេទ	បន្ត|ពូជ|អភេទ	ប・ន・្・ត・ព・ូ・ជ・អ・ភ・េ・ទ
បន្តម	បន្ត|ម	ប・ន・្・ត・ម
បន្តិច	បន្តិច	ប・ន・្・ត・ិ・ច
បន្តិចបន្តួច	បន្តិចបន្តួច	ប・ន・្・ត・ិ・ច・ប・ន・្・ត・ួ・ច
បន្តិចបន្តួច	បន្តិចបន្តួច	ប・ន・្・ត・ិ・ច・ប・ន・្・ត・ួ・ច
បន្តឹង	បន្តឹង	ប・ន・្・ត・ឹ・ង
បន្តុប	បន្តុប	ប・ន・្・ត・ុ・ប
បន្តុះ	បន្តុះ	ប・ន・្・ត・ុ・ះ
បន្តុះបង្អាប់	បន្តុះ|បង្អាប់	ប・ន・្・ត・ុ・ះ・ប・ង・្・អ・ា・ប・់
បន្តូច	បន្តូច	ប・ន・្・ត・ូ・ច
បន្តូចបន្ទាប	បន្តូច|បន្ទាប	ប・ន・្・ត・ូ・ច・ប・ន・្・ទ・ា・ប
បន្តួច	បន្តួច	ប・ន・្・ត・ួ・ច
បន្តើត	បន្តើត	ប・ន・្・ត・ើ・ត
បន្តោក	បន្តោក	ប・ន・្・ត・ោ・ក
បន្តោង	បន្តោង	ប・ន・្・ត・ោ・ង
បព្វជ្ជន្តេវាសិក	បព្វជ្ជន្តេវាសិក	ប・ព・្・វ・ជ・្・ជ・ន・្・ត・េ・វ・ា・ស・ិ・ក
បុញ្ញវន្ត	បុញ្ញវន្ត	ប・ុ・ញ・្・ញ・វ・ន・្・ត
បុញ្ញវន្តី	បុញ្ញវន្តី	ប・ុ・ញ・្・ញ・វ・ន・្・ត・ី
បើករថយន្ត	បើក|រថ|យន្ត	ប・ើ・ក・រ・ថ・យ・ន・្・ត
បំភ័ន្ត	បំភ័ន្ត	ប・ំ・ភ・័・ន・្・ត
ប៉ុន្តែ	ប៉ុន្តែ	ប・៉・ុ・ន・្・ត・ែ
ប្រេមវន្ត	ប្រេម|វន្ត	ប・្・រ・េ・ម・វ・ន・្・ត
ពន្ធុមន្ត	ពន្ធុ|មន្ត	ព・ន・្・ធ・ុ・ម・ន・្・ត
ពលករទេសន្តរប្រវេសន៍	ពលករ|ទេសន្តរប្រវេសន៍	ព・ល・ក・រ・ទ・េ・ស・ន・្・ត・រ・ប・្・រ・វ・េ・ស・ន・៍
ពហុមន្តិនី	ពហុ|មន្តិនី	ព・ហ・ុ・ម・ន・្・ត・ិ・ន・ី
ពហុមន្តី	ពហុ|មន្តី	ព・ហ・ុ・ម・ន・្・ត・ី
ពិព័រណ៍អន្តរជាតិ	ពិព័រណ៍|អន្តរ|ជាតិ	ព・ិ・ព・័・រ・ណ・៍・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ពិសាលសន្តាន	ពិសាល|សន្តាន	ព・ិ・ស・ា・ល・ស・ន・្・ត・ា・ន
ពុទ្ធន្តរ	ពុទ្ធ|ន្តរ	ព・ុ・ទ・្・ធ・ន・្・ត・រ
ពុទ្ធមន្ត	ពុទ្ធ|មន្ត	ព・ុ・ទ・្・ធ・ម・ន・្・ត
ពេជយ័ន្ត	ពេជយ័ន្ត	ព・េ・ជ・យ・័・ន・្・ត
ព្រងើយកន្តើយ	ព្រងើយ|កន្តើយ	ព・្・រ・ង・ើ・យ・ក・ន・្・ត・ើ・យ
ព្រលានយន្តហោះ	ព្រលាន|យន្ត|ហោះ	ព・្・រ・ល・ា・ន・យ・ន・្・ត・ហ・ោ・ះ
ព្រហក់កន្តរ៉	ព្រហក់|កន្តរ៉	ព・្・រ・ហ・ក・់・ក・ន・្・ត・រ・៉
ភគវន្ត	ភគវន្ត	ភ・គ・វ・ន・្・ត
ភគវន្តមុនី	ភគវន្ត|មុនី	ភ・គ・វ・ន・្・ត・ម・ុ・ន・ី
ភគវ័ន្ត	ភគវ័ន្ត	ភ・គ・វ・័・ន・្・ត
ភតិសន្យាបន្ត	ភតិសន្យា|បន្ត	ភ・ត・ិ・ស・ន・្・យ・ា・ប・ន・្・ត
ភទន្ត	ភទន្ត	ភ・ទ・ន・្・ត
ភទន្តេ!	ភទន្តេ|!	ភ・ទ・ន・្・ត・េ・!
ភទន្តៈ	ភទន្តៈ	ភ・ទ・ន・្・ត・ៈ
ភប់ភ័ន្ត	ភប់|ភ័ន្ត	ភ・ប・់・ភ・័・ន・្・ត
ភយន្តរាយ	ភយន្តរាយ	ភ・យ・ន・្・ត・រ・ា・យ
ភាពយន្ត	ភាពយន្ត	ភ・ា・ព・យ・ន・្・ត
ភាពយន្តគ	ភាពយន្ត|គ	ភ・ា・ព・យ・ន・្・ត・គ
ភោគវន្តី	ភោគ|វន្តី	ភ・ោ・គ・វ・ន・្・ត・ី
ភោគវ័ន្ត	ភោគ|វ័ន្ត	ភ・ោ・គ・វ・័・ន・្・ត
ភ័ន្ត	ភ័ន្ត	ភ・័・ន・្・ត
មការន្ត	មការ|ន្ត	ម・ក・ា・រ・ន・្・ត
មជ្ឈន្តិក	មជ្ឈន្តិក	ម・ជ・្・ឈ・ន・្・ត・ិ・ក
មជ្ឈន្តិកកាល	មជ្ឈន្តិក|កាល	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ក・ា・ល
មជ្ឈន្តិកនិយម	មជ្ឈន្តិក|និយម	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ន・ិ・យ・ម
មជ្ឈន្តិកភាព	មជ្ឈន្តិក|ភាព	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ភ・ា・ព
មជ្ឈន្តិការិនី	មជ្ឈន្តិការិនី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ា・រ・ិ・ន・ី
មជ្ឈន្តិការី	មជ្ឈន្តិការី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ា・រ・ី
មជ្ឈន្តិកិរិនី	មជ្ឈន្តិកិរិនី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ិ・រ・ិ・ន・ី
មជ្ឈន្តិកី	មជ្ឈន្តិកី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ី
មជ្ឈន្តិកៈ	មជ្ឈន្តិកៈ	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ៈ
មតិមន្ត	មតិ|មន្ត	ម・ត・ិ・ម・ន・្・ត
មតិមន្តី	មតិ|មន្តី	ម・ត・ិ・ម・ន・្・ត・ី
មនុស្សយន្ត	មនុស្ស|យន្ត	ម・ន・ុ・ស・្・ស・យ・ន・្・ត
