ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
អត្តភាព	អ・ត・្・ត・ភ・ា・ព
ចិត្តមេត្តា	ច・ិ・ត・្・ត・ម・េ・ត・្・ត・ា
ចិត្តមេត្តា	ច・ិ・ត・្・ត・ម・េ・ត・្・ត・ា
បង្ខំចិត្ត	ប・ង・្・ខ・ំ・ច・ិ・ត・្・ត
អយុត្តិធម៌	អ・យ・ុ・ត・្・ត・ិ・ធ・ម・៌
សំរេចចិត្ត	ស・ំ・រ・េ・ច・ច・ិ・ត・្・ត
ខែកត្តិក	ខ・ែ・ក・ត・្・ត・ិ・ក
សុទ្ធចិត្ត	ស・ុ・ទ・្・ធ・ច・ិ・ត・្・ត
ប្រតិបត្តិការ	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・ា・រ
សម្បិត្តិ	ស・ម・្・ប・ិ・ត・្・ត・ិ
ឯកត្តភាព	ឯ・ក・ត・្・ត・ភ・ា・ព
អង្គបញ្ញត្តិ	អ・ង・្・គ・ប・ញ・្・ញ・ត・្・ត・ិ
ការប្រព្រឹត្ត	ក・ា・រ・ប・្・រ・ព・្・រ・ឹ・ត・្・ត
ខូចចិត្ត	ខ・ូ・ច・ច・ិ・ត・្・ត
ទ្រព្យសម្បត្តិ	ទ・្・រ・ព・្・យ・ស・ម・្・ប・ត・្・ត・ិ
ប្រព្រឹត្តទៅ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ទ・ៅ
វត្តមាន	វ・ត・្・ត・ម・ា・ន
អត្តសញ្ញាណ	អ・ត・្・ត・ស・ញ・្・ញ・ា・ណ
ឧត្តរា	ឧ・ត・្・ត・រ・ា
ត្រូវចិត្ត	ត・្・រ・ូ・វ・ច・ិ・ត・្・ត
អវត្តមាន	អ・វ・ត・្・ត・ម・ា・ន
ញត្តិ	ញ・ត・្・ត・ិ
កិត្តិយស	ក・ិ・ត・្・ត・ិ・យ・ស
សមចិត្ត	ស・ម・ច・ិ・ត・្・ត
ចិត្តរន្ធត់	ច・ិ・ត・្・ត・រ・ន・្・ធ・ត・់
ចិត្តស្រាល	ច・ិ・ត・្・ត・ស・្・រ・ា・ល
រំជួលចិត្ត	រ・ំ・ជ・ួ・ល・ច・ិ・ត・្・ត
អ្នកបដិវត្ត	អ・្・ន・ក・ប・ដ・ិ・វ・ត・្・ត
មជ្ឈត្តកម្ម	ម・ជ・្・ឈ・ត・្・ត・ក・ម・្・ម
ហួសចិត្ត	ហ・ួ・ស・ច・ិ・ត・្・ត
អត្តឃាត	អ・ត・្・ត・ឃ・ា・ត
វិវត្ត	វ・ិ・វ・ត・្・ត
យល់ចិត្ត	យ・ល・់・ច・ិ・ត・្・ត
ស្មោះអស់ពីចិត្ត	ស・្・ម・ោ・ះ・អ・ស・់・ព・ី・ច・ិ・ត・្・ត
ចំណូលចិត្ត	ច・ំ・ណ・ូ・ល・ច・ិ・ត・្・ត
វណ្ណយុត្តិ	វ・ណ・្・ណ・យ・ុ・ត・្・ត・ិ
ឧត្តមគតិ	ឧ・ត・្・ត・ម・គ・ត・ិ
វត្តឧណ្ណាលោម	វ・ត・្・ត・ឧ・ណ・្・ណ・ា・ល・ោ・ម
ការសម្រេចចិត្ត	ក・ា・រ・ស・ម・្・រ・េ・ច・ច・ិ・ត・្・ត
មានបំណងចិត្ត	ម・ា・ន・ប・ំ・ណ・ង・ច・ិ・ត・្・ត
ចូលចិត្តជាង	ច・ូ・ល・ច・ិ・ត・្・ត・ជ・ា・ង
មុខខេត្ត	ម・ុ・ខ・ខ・េ・ត・្・ត
វត្តចាស់	វ・ត・្・ត・ច・ា・ស・់
ឧប្បត្តិហេតុ	ឧ・ប・្・ប・ត・្・ត・ិ・ហ・េ・ត・ុ
យុត្ត	យ・ុ・ត・្・ត
ទាក់ចិត្ត	ទ・ា・ក・់・ច・ិ・ត・្・ត
តាមចិត្តចង់	ត・ា・ម・ច・ិ・ត・្・ត・ច・ង・់
អត្តខាត់	អ・ត・្・ត・ខ・ា・ត・់
កំឡាំងចិត្ត	ក・ំ・ឡ・ា・ំ・ង・ច・ិ・ត・្・ត
សត្ត	ស・ត・្・ត
ដោយចិត្ត	ដ・ោ・យ・ច・ិ・ត・្・ត
សមានចិត្ត	ស・ម・ា・ន・ច・ិ・ត・្・ត
បើកចំហចិត្ត	ប・ើ・ក・ច・ំ・ហ・ច・ិ・ត・្・ត
វណ្ណយុត្ត	វ・ណ・្・ណ・យ・ុ・ត・្・ត
មាតុភូមិនិវត្តន៍	ម・ា・ត・ុ・ភ・ូ・ម・ិ・ន・ិ・វ・ត・្・ត・ន・៍
មុខវត្ត	ម・ុ・ខ・វ・ត・្・ត
ពុទ្ធប្រវត្តិ	ព・ុ・ទ・្・ធ・ប・្・រ・វ・ត・្・ត・ិ
ស្ម័គ្រចិត្ត	ស・្・ម・័・គ・្・រ・ច・ិ・ត・្・ត
ព្រឹត្តិន័យ	ព・្・រ・ឹ・ត・្・ត・ិ・ន・័・យ
និមិត្តរូប	ន・ិ・ម・ិ・ត・្・ត・រ・ូ・ប
បញ្ញាចិត្ត	ប・ញ・្・ញ・ា・ច・ិ・ត・្・ត
អនុត្តរភាព	អ・ន・ុ・ត・្・ត・រ・ភ・ា・ព
