សេចក្ដីសម្រេច	សេចក្ដី|សម្រេច	ស・េ・ច・ក・្・ដ・ី・ស・ម・្・រ・េ・ច
សេចក្ដីស្នើច្បាប់	សេចក្ដី|ស្នើ|ច្បាប់	ស・េ・ច・ក・្・ដ・ី・ស・្・ន・ើ・ច・្・ប・ា・ប・់
ស័ក្ដិ	ស័ក្ដិ	ស・័・ក・្・ដ・ិ
ស័ក្ដិយស	ស័ក្ដិយស	ស・័・ក・្・ដ・ិ・យ・ស
ស័ក្ដិសម	ស័ក្ដិសម	ស・័・ក・្・ដ・ិ・ស・ម
ស័ក្ដិសិទ្ធិ	ស័ក្ដិសិទ្ធិ	ស・័・ក・្・ដ・ិ・ស・ិ・ទ・្・ធ・ិ
ស័ក្ដិ៩ហ៊ូពាន់	ស័ក្ដិ៩|ហ៊ូ|ពាន់	ស・័・ក・្・ដ・ិ・៩・ហ・៊・ូ・ព・ា・ន・់
ស្ពៃក្ដោប	ស្ពៃ|ក្ដោប	ស・្・ព・ៃ・ក・្・ដ・ោ・ប
ស្មាក្ដី	ស្មា|ក្ដី	ស・្・ម・ា・ក・្・ដ・ី
ស្រកាក្ដាម	ស្រកា|ក្ដាម	ស・្・រ・ក・ា・ក・្・ដ・ា・ម
ស្រពព្រះភក្ដ្រ	ស្រព|ព្រះ|ភក្ដ្រ	ស・្・រ・ព・ព・្・រ・ះ・ភ・ក・្・ដ・្・រ
ស្រមណសក្ដិ	ស្រមណ|សក្ដិ	ស・្・រ・ម・ណ・ស・ក・្・ដ・ិ
ស្រមណស័ក្ដិ	ស្រមណ|ស័ក្ដិ	ស・្・រ・ម・ណ・ស・័・ក・្・ដ・ិ
ស្រែកបែកក្ដឹះ	ស្រែក|បែក|ក្ដឹះ	ស・្・រ・ែ・ក・ប・ែ・ក・ក・្・ដ・ឹ・ះ
ស្វទេសភក្ដី	ស្វ|ទេស|ភក្ដី	ស・្・វ・ទ・េ・ស・ភ・ក・្・ដ・ី
ស្វទេសភ័ក្ដ	ស្វ|ទេសភ័ក្ដ	ស・្・វ・ទ・េ・ស・ភ・័・ក・្・ដ
ស្វាមីភក្ដិ	ស្វាមី|ភក្ដិ	ស・្・វ・ា・ម・ី・ភ・ក・្・ដ・ិ
ស្វាមីភ័ក្ដិ	ស្វាមី|ភ័ក្ដិ	ស・្・វ・ា・ម・ី・ភ・័・ក・្・ដ・ិ
ឡើងបុណ្យស័ក្ដិ	ឡើង|បុណ្យ|ស័ក្ដិ	ឡ・ើ・ង・ប・ុ・ណ・្・យ・ស・័・ក・្・ដ・ិ
ឡើងបុណ្យឡើងស័ក្ដិ	ឡើង|បុណ្យ|ឡើង|ស័ក្ដិ	ឡ・ើ・ង・ប・ុ・ណ・្・យ・ឡ・ើ・ង・ស・័・ក・្・ដ・ិ
អគ្គស្មាក្ដី	អគ្គ|ស្មា|ក្ដី	អ・គ・្・គ・ស・្・ម・ា・ក・្・ដ・ី
អង្គសេចក្ដី	អង្គ|សេចក្ដី	អ・ង・្・គ・ស・េ・ច・ក・្・ដ・ី
អង្គឺក្ដី	អង្គឺ|ក្ដី	អ・ង・្・គ・ឺ・ក・្・ដ・ី
អតិភោក្ដា	អតិភោក្ដា	អ・ត・ិ・ភ・ោ・ក・្・ដ・ា
អនុរក្ដិ	អនុ|រក្ដិ	អ・ន・ុ・រ・ក・្・ដ・ិ
អបសក្ដិ	អបសក្ដិ	អ・ប・ស・ក・្・ដ・ិ
អបស័ក្ដិ	អបស័ក្ដិ	អ・ប・ស・័・ក・្・ដ・ិ
អប្បសក្ដិ	អប្បសក្ដិ	អ・ប・្・ប・ស・ក・្・ដ・ិ
អប្បស័ក្ដិ	អប្បស័ក្ដិ	អ・ប・្・ប・ស・័・ក・្・ដ・ិ
អាចក្ដី	អាច|ក្ដី	អ・ា・ច・ក・្・ដ・ី
អាចម៍ល័ក្ដ	អាចម៍|ល័ក្ដ	អ・ា・ច・ម・៍・ល・័・ក・្・ដ
អុតក្ដាម	អុត|ក្ដាម	អ・ុ・ត・ក・្・ដ・ា・ម
ឥស្សរិយស័ក្ដិ	ឥស្សរិយ|ស័ក្ដិ	ឥ・ស・្・ស・រ・ិ・យ・ស・័・ក・្・ដ・ិ
ឧត្តមស័ក្ដិ	ឧត្តម|ស័ក្ដិ	ឧ・ត・្・ត・ម・ស・័・ក・្・ដ・ិ
ឯកភក្ដិ	ឯក|ភក្ដិ	ឯ・ក・ភ・ក・្・ដ・ិ
ឯកភក្ដី	ឯក|ភក្ដី	ឯ・ក・ភ・ក・្・ដ・ី
ឯកភ័ក្ដិ	ឯក|ភ័ក្ដិ	ឯ・ក・ភ・័・ក・្・ដ・ិ
ឯកស័ក្ដិ	ឯកស័ក្ដិ	ឯ・ក・ស・័・ក・្・ដ・ិ
ឰកស័ក្ដិ	ឰក|ស័ក្ដិ	ឰ・ក・ស・័・ក・្・ដ・ិ
ឱ្យកូនទៅនៅក្ដី	ឱ្យ|កូន|ទៅ|នៅ|ក្ដី	ឱ・្・យ・ក・ូ・ន・ទ・ៅ・ន・ៅ・ក・្・ដ・ី
