កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
លេខអស្ដា	ល・េ・ខ・អ・ស・្・ដ・ា
ស្ដង់ដា	ស・្・ដ・ង・់・ដ・ា
ស្ដាប់	ស・្・ដ・ា・ប・់
ស្ដារ	ស・្・ដ・ា・រ
ស្ដារ	ស・្・ដ・ា・រ
ស្ដារ	ស・្・ដ・ា・រ
ស្ដី	ស・្・ដ・ី
ស្ដើង	ស・្・ដ・ើ・ង
ស្ដៅ	ស・្・ដ・ៅ
ស្វស្ដិក	ស・្・វ・ស・្・ដ・ិ・ក
