កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
រត្តុប្បល	រត្តុប្បល	រ・ត・្・ត・ុ・ប・្・ប・ល
រត្ត—	រត្ត—	រ・ត・្・ត・—
រន្ធកសត្ត	រន្ធក|សត្ត	រ・ន・្・ធ・ក・ស・ត・្・ត
រមាស់ចិត្ត	រមាស់|ចិត្ត	រ・ម・ា・ស・់・ច・ិ・ត・្・ត
រលកចិត្ត	រលក|ចិត្ត	រ・ល・ក・ច・ិ・ត・្・ត
រសាយចិត្ត	រសាយ|ចិត្ត	រ・ស・ា・យ・ច・ិ・ត・្・ត
រស្សកសត្ត	រស្សក|សត្ត	រ・ស・្・ស・ក・ស・ត・្・ត
រហស្សមិត្ត	រហស្ស|មិត្ត	រ・ហ・ស・្・ស・ម・ិ・ត・្・ត
រអាមចិត្ត	រអាម|ចិត្ត	រ・អ・ា・ម・ច・ិ・ត・្・ត
រាគចិត្ត	រាគ|ចិត្ត	រ・ា・គ・ច・ិ・ត・្・ត
រាជនត្តា	រាជ|នត្តា	រ・ា・ជ・ន・ត・្・ត・ា
រាជបរិវត្តន៍	រាជ|បរិវត្តន៍	រ・ា・ជ・ប・រ・ិ・វ・ត・្・ត・ន・៍
រាជប្បញ្ញត្តិ	រាជ|ប្បញ្ញត្តិ	រ・ា・ជ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
រាជប្រវត្តិ	រាជ|ប្រវត្តិ	រ・ា・ជ・ប・្・រ・វ・ត・្・ត・ិ
រាជព្រឹត្តិ	រាជ|ព្រឹត្តិ	រ・ា・ជ・ព・្・រ・ឹ・ត・្・ត・ិ
រាជមិត្ត	រាជ|មិត្ត	រ・ា・ជ・ម・ិ・ត・្・ត
រាជសម្បត្តិ	រាជ|សម្បត្តិ	រ・ា・ជ・ស・ម・្・ប・ត・្・ត・ិ
រាជសម្ពន្ធមិត្ត	រាជ|សម្ពន្ធ|មិត្ត	រ・ា・ជ・ស・ម・្・ព・ន・្・ធ・ម・ិ・ត・្・ត
រាជាយុត្តកសភា	រាជា|យុត្ត|កសភា	រ・ា・ជ・ា・យ・ុ・ត・្・ត・ក・ស・ភ・ា
រាជាយុត្តកាធិបតី	រាជា|យុត្ត|កាធិបតី	រ・ា・ជ・ា・យ・ុ・ត・្・ត・ក・ា・ធ・ិ・ប・ត・ី
រាជាយុត្តកៈ	រាជា|យុត្តកៈ	រ・ា・ជ・ា・យ・ុ・ត・្・ត・ក・ៈ
រាជ្យសម្បត្តិ	រាជ្យ|សម្បត្តិ	រ・ា・ជ・្・យ・ស・ម・្・ប・ត・្・ត・ិ
រិត្តភាព	រិត្ត|ភាព	រ・ិ・ត・្・ត・ភ・ា・ព
រីកចិត្ត	រីក|ចិត្ត	រ・ី・ក・ច・ិ・ត・្・ត
រូបបរិវត្ត	រូប|បរិវត្ត	រ・ូ・ប・ប・រ・ិ・វ・ត・្・ត
រូបបរិវត្តន៍	រូប|បរិវត្តន៍	រ・ូ・ប・ប・រ・ិ・វ・ត・្・ត・ន・៍
រូបិយាណត្តិ	រូបិយាណត្តិ	រ・ូ・ប・ិ・យ・ា・ណ・ត・្・ត・ិ
រួញចិត្ត	រួញ|ចិត្ត	រ・ួ・ញ・ច・ិ・ត・្・ត
រួមចិត្ត	រួម|ចិត្ត	រ・ួ・ម・ច・ិ・ត・្・ត
រោសចិត្ត	រោស|ចិត្ត	រ・ោ・ស・ច・ិ・ត・្・ត
រំភើបចិត្ត	រំភើប|ចិត្ត	រ・ំ・ភ・ើ・ប・ច・ិ・ត・្・ត
លក្ខណប្បញ្ញត្តិ	លក្ខណ|ប្បញ្ញត្តិ	ល・ក・្・ខ・ណ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
លក្ខណវិនយប្បញ្ញត្តិ	លក្ខណ|វិនយ|ប្បញ្ញត្តិ	ល・ក・្・ខ・ណ・វ・ិ・ន・យ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
លក្ខណវិបត្តិ	លក្ខណ|វិបត្តិ	ល・ក・្・ខ・ណ・វ・ិ・ប・ត・្・ត・ិ
លក្ខណសម្បត្តិ	លក្ខណ|សម្បត្តិ	ល・ក・្・ខ・ណ・ស・ម・្・ប・ត・្・ត・ិ
លក្ខន្តិកប្បញ្ញត្តិ	លក្ខន្តិកប្បញ្ញត្តិ	ល・ក・្・ខ・ន・្・ត・ិ・ក・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
លឃុចិត្ត	លឃុចិត្ត	ល・ឃ・ុ・ច・ិ・ត・្・ត
លទ្ធសម្បត្តិ	លទ្ធ|សម្បត្តិ	ល・ទ・្・ធ・ស・ម・្・ប・ត・្・ត・ិ
លហុកាបត្តិ	លហុកាបត្តិ	ល・ហ・ុ・ក・ា・ប・ត・្・ត・ិ
លហុចិត្ត	លហុចិត្ត	ល・ហ・ុ・ច・ិ・ត・្・ត
លាងចិត្ត	លាង|ចិត្ត	ល・ា・ង・ច・ិ・ត・្・ត
លាមកសត្ត	លាមក|សត្ត	ល・ា・ម・ក・ស・ត・្・ត
លិង្គព្រឹត្តិ	លិង្គ|ព្រឹត្តិ	ល・ិ・ង・្・គ・ព・្・រ・ឹ・ត・្・ត・ិ
លុត្ត	លុត្ត	ល・ុ・ត・្・ត
លុត្តបទ	លុត្ត|បទ	ល・ុ・ត・្・ត・ប・ទ
លុត្តសមាស	លុត្ត|សមាស	ល・ុ・ត・្・ត・ស・ម・ា・ស
លួចចិត្ត	លួច|ចិត្ត	ល・ួ・ច・ច・ិ・ត・្・ត
លើកទឹកចិត្ត	លើក|ទឹក|ចិត្ត	ល・ើ・ក・ទ・ឹ・ក・ច・ិ・ត・្・ត
លេសមត្ត	លេស|មត្ត	ល・េ・ស・ម・ត・្・ត
លោកប្បត្តិ	លោក|ប្បត្តិ	ល・ោ・ក・ប・្・ប・ត・្・ត・ិ
លោកប្រវត្តិ	លោក|ប្រវត្តិ	ល・ោ・ក・ប・្・រ・វ・ត・្・ត・ិ
លោកសម្បត្តិ	លោក|សម្បត្តិ	ល・ោ・ក・ស・ម・្・ប・ត・្・ត・ិ
លោកានុវត្តន៍	លោកានុវត្តន៍	ល・ោ・ក・ា・ន・ុ・វ・ត・្・ត・ន・៍
លោកានុវត្តិ	លោកានុវត្តិ	ល・ោ・ក・ា・ន・ុ・វ・ត・្・ត・ិ
លោកិយចិត្ត	លោកិយ|ចិត្ត	ល・ោ・ក・ិ・យ・ច・ិ・ត・្・ត
លោកិយសត្ត	លោកិយ|សត្ត	ល・ោ・ក・ិ・យ・ស・ត・្・ត
លោកុត្តរ	លោកុត្តរ	ល・ោ・ក・ុ・ត・្・ត・រ
លោកុត្តរចិត្ត	លោកុត្តរ|ចិត្ត	ល・ោ・ក・ុ・ត・្・ត・រ・ច・ិ・ត・្・ត
លោកុត្តរចិត្ត	លោកុត្តរ|ចិត្ត	ល・ោ・ក・ុ・ត・្・ត・រ・ច・ិ・ត・្・ត
លោកុត្តរធម៌	លោកុត្តរ|ធម៌	ល・ោ・ក・ុ・ត・្・ត・រ・ធ・ម・៌
លោកុត្តរប្បញ្ញា	លោកុត្តរ|ប្បញ្ញា	ល・ោ・ក・ុ・ត・្・ត・រ・ប・្・ប・ញ・្・ញ・ា
លោកុត្តរសម្បត្តិ	លោកុត្តរ|សម្បត្តិ	ល・ោ・ក・ុ・ត・្・ត・រ・ស・ម・្・ប・ត・្・ត・ិ
លោកុត្តរសម្បត្តិ	លោកុត្តរ|សម្បត្តិ	ល・ោ・ក・ុ・ត・្・ត・រ・ស・ម・្・ប・ត・្・ត・ិ
លោកុត្តរាភិសម័យ	លោកុត្តរាភិសម័យ	ល・ោ・ក・ុ・ត・្・ត・រ・ា・ភ・ិ・ស・ម・័・យ
លោកុត្តរារិយមគ្គ	លោកុត្ត|រារិយ|មគ្គ	ល・ោ・ក・ុ・ត・្・ត・រ・ា・រ・ិ・យ・ម・គ・្・គ
លោភចិត្ត	លោភ|ចិត្ត	ល・ោ・ភ・ច・ិ・ត・្・ត
ល្បះកត្តុ	ល្បះ|កត្តុ	ល・្・ប・ះ・ក・ត・្・ត・ុ
ល្ហើយចិត្ត	ល្ហើយ|ចិត្ត	ល・្・ហ・ើ・យ・ច・ិ・ត・្・ត
វង្កមិត្ត	វង្ក|មិត្ត	វ・ង・្・ក・ម・ិ・ត・្・ត
វង្វេងចិត្ត	វង្វេង|ចិត្ត	វ・ង・្・វ・េ・ង・ច・ិ・ត・្・ត
វចនមិត្ត	វចន|មិត្ត	វ・ច・ន・ម・ិ・ត・្・ត
វចីបរមមិត្ត	វចី|បរម|មិត្ត	វ・ច・ី・ប・រ・ម・ម・ិ・ត・្・ត
វណ្ណព្រឹត្ត	វណ្ណ|ព្រឹត្ត	វ・ណ・្・ណ・ព・្・រ・ឹ・ត・្・ត
វណ្ណមត្ត	វណ្ណ|មត្ត	វ・ណ・្・ណ・ម・ត・្・ត
វណ្ណមត្តា	វណ្ណ|មត្តា	វ・ណ・្・ណ・ម・ត・្・ត・ា
វណ្ណយុត្ត	វណ្ណ|យុត្ត	វ・ណ・្・ណ・យ・ុ・ត・្・ត
វណ្ណសម្បត្តិ	វណ្ណ|សម្បត្តិ	វ・ណ・្・ណ・ស・ម・្・ប・ត・្・ត・ិ
វត្ត	វត្ត	វ・ត・្・ត
វត្តនី	វត្តនី	វ・ត・្・ត・ន・ី
វត្តបទ	វត្ត|បទ	វ・ត・្・ត・ប・ទ
វត្តប្បដិវត្ត	វត្ត|ប្បដិវត្ត	វ・ត・្・ត・ប・្・ប・ដ・ិ・វ・ត・្・ត
វត្តប្បដិវត្ត	វត្ត|ប្បដិវត្ត	វ・ត・្・ត・ប・្・ប・ដ・ិ・វ・ត・្・ត
វត្តប្រតិបត្តិ	វត្ត|ប្រតិបត្តិ	វ・ត・្・ត・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
វត្តប្រតិបត្តិ	វត្ត|ប្រតិបត្តិ	វ・ត・្・ត・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
វត្តពូជ	វត្ត|ពូជ	វ・ត・្・ត・ព・ូ・ជ
វត្តមាន	វត្តមាន	វ・ត・្・ត・ម・ា・ន
វត្តមានកាល	វត្តមាន|កាល	វ・ត・្・ត・ម・ា・ន・ក・ា・ល
វត្តមានា	វត្តមានា	វ・ត・្・ត・ម・ា・ន・ា
វត្តវតី	វត្ត|វតី	វ・ត・្・ត・វ・ត・ី
វត្តវន្ត	វត្ត|វន្ត	វ・ត・្・ត・វ・ន・្・ត
វត្តវន្តី	វត្ត|វន្តី	វ・ត・្・ត・វ・ន・្・ត・ី
វត្តសមាទាន	វត្ត|សមាទាន	វ・ត・្・ត・ស・ម・ា・ទ・ា・ន
វត្តសម្បន្ន	វត្ត|សម្បន្ន	វ・ត・្・ត・ស・ម・្・ប・ន・្・ន
វត្តសម្បន្នា	វត្ត|សម្បន្នា	វ・ត・្・ត・ស・ម・្・ប・ន・្・ន・ា
វត្ត—	វត្ត—	វ・ត・្・ត・—
វប្បក្ខេត្ត	វប្បក្ខេត្ត	វ・ប・្・ប・ក・្・ខ・េ・ត・្・ត
វយបត្តិ	វយបត្តិ	វ・យ・ប・ត・្・ត・ិ
វរចិត្ត	វរ|ចិត្ត	វ・រ・ច・ិ・ត・្・ត
វរមិត្ត	វរ|មិត្ត	វ・រ・ម・ិ・ត・្・ត
វរោត្តម	វរោត្តម	វ・រ・ោ・ត・្・ត・ម
វល្លភមិត្ត	វល្លភ|មិត្ត	វ・ល・្・ល・ភ・ម・ិ・ត・្・ត
វសវត្តី	វសវត្តី	វ・ស・វ・ត・្・ត・ី
វាក្យបរិវត្តន៍	វា|ក្យ|បរិវត្តន៍	វ・ា・ក・្・យ・ប・រ・ិ・វ・ត・្・ត・ន・៍
វាលគ្គមត្ត	វាល|គ្គម|ត្ត	វ・ា・ល・គ・្・គ・ម・ត・្・ត
វាសិតចិត្ត	វា|សិត|ចិត្ត	វ・ា・ស・ិ・ត・ច・ិ・ត・្・ត
វិកតិកត្តា	វិកតិកត្តា	វ・ិ・ក・ត・ិ・ក・ត・្・ត・ា
វិកសិតចិត្ត	វិកសិត|ចិត្ត	វ・ិ・ក・ស・ិ・ត・ច・ិ・ត・្・ត
វិក្ខិត្តចិត្ត	វិក្ខិត្ត|ចិត្ត	វ・ិ・ក・្・ខ・ិ・ត・្・ត・ច・ិ・ត・្・ត
វិក្ខិត្តចិត្ត	វិក្ខិត្ត|ចិត្ត	វ・ិ・ក・្・ខ・ិ・ត・្・ត・ច・ិ・ត・្・ត
វិក្ខេបចិត្ត	វិក្ខេប|ចិត្ត	វ・ិ・ក・្・ខ・េ・ប・ច・ិ・ត・្・ត
វិចចិត្ត	វិច|ចិត្ត	វ・ិ・ច・ច・ិ・ត・្・ត
វិចិកិច្ឆាសម្បយុត្ត	វិចិកិច្ឆា|សម្បយុត្ត	វ・ិ・ច・ិ・ក・ិ・ច・្・ឆ・ា・ស・ម・្・ប・យ・ុ・ត・្・ត
វិចិត្តកម្ម	វិចិត្ត|កម្ម	វ・ិ・ច・ិ・ត・្・ត・ក・ម・្・ម
វិចិត្តការ	វិចិត្ត|ការ	វ・ិ・ច・ិ・ត・្・ត・ក・ា・រ
វិចិត្តការ្យ	វិចិត្ត|ការ្យ	វ・ិ・ច・ិ・ត・្・ត・ក・ា・រ・្・យ
វិចិត្តភណ្ឌ	វិចិត្ត|ភណ្ឌ	វ・ិ・ច・ិ・ត・្・ត・ភ・ណ・្・ឌ
វិជ្ជមានប្បញ្ញត្តិ	វិជ្ជមាន|ប្បញ្ញត្តិ	វ・ិ・ជ・្・ជ・ម・ា・ន・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
វិញ្ញត្តិ	វិញ្ញត្តិ	វ・ិ・ញ・្・ញ・ត・្・ត・ិ
វិញ្ញត្តិកថា	វិញ្ញត្តិក|ថា	វ・ិ・ញ・្・ញ・ត・្・ត・ិ・ក・ថ・ា
វិញ្ញត្តិកម្ម	វិញ្ញត្តិ|កម្ម	វ・ិ・ញ・្・ញ・ត・្・ត・ិ・ក・ម・្・ម
វិញ្ញត្តិវប្បធម៌	វិញ្ញត្តិ|វប្បធម៌	វ・ិ・ញ・្・ញ・ត・្・ត・ិ・វ・ប・្・ប・ធ・ម・៌
វិត្តន្តរាយ	វិត្តន្តរាយ	វ・ិ・ត・្・ត・ន・្・ត・រ・ា・យ
វិត្តលាភ	វិត្ត|លាភ	វ・ិ・ត・្・ត・ល・ា・ភ
វិត្តវិនាស	វិត្ត|វិនាស	វ・ិ・ត・្・ត・វ・ិ・ន・ា・ស
