កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
ទិដ្ឋមត្ត	ទិដ្ឋ|មត្ត	ទ・ិ・ដ・្・ឋ・ម・ត・្・ត
ទិដ្ឋមត្តក៍	ទិដ្ឋ|មត្តក៍	ទ・ិ・ដ・្・ឋ・ម・ត・្・ត・ក・៍
ទិដ្ឋិវិបត្តិ	ទិដ្ឋិ|វិបត្តិ	ទ・ិ・ដ・្・ឋ・ិ・វ・ិ・ប・ត・្・ត・ិ
ទិដ្ឋិសម្បត្តិ	ទិដ្ឋិ|សម្បត្តិ	ទ・ិ・ដ・្・ឋ・ិ・ស・ម・្・ប・ត・្・ត・ិ
ទិដ្ឋុម្មត្តកៈ	ទិដ្ឋុម្មត្តកៈ	ទ・ិ・ដ・្・ឋ・ុ・ម・្・ម・ត・្・ត・ក・ៈ
ទិនានុប្បវត្តិ	ទិនានុប្បវត្តិ	ទ・ិ・ន・ា・ន・ុ・ប・្・ប・វ・ត・្・ត・ិ
ទិនានុប្រព្រឹត្តិ	ទិនានុប្រព្រឹត្តិ	ទ・ិ・ន・ា・ន・ុ・ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
ទិវានុព្រឹត្តិ	ទិវានុព្រឹត្តិ	ទ・ិ・វ・ា・ន・ុ・ព・្・រ・ឹ・ត・្・ត・ិ
ទីឃរត្ត	ទីឃ|រត្ត	ទ・ី・ឃ・រ・ត・្・ត
ទីផ្សារកត្តាផលិតកម្ម	ទី|ផ្សារ|កត្តា|ផលិត|កម្ម	ទ・ី・ផ・្・ស・ា・រ・ក・ត・្・ត・ា・ផ・ល・ិ・ត・ក・ម・្・ម
ទីរួមខេត្ត	ទី|រួម|ខេត្ត	ទ・ី・រ・ួ・ម・ខ・េ・ត・្・ត
ទីសត្តឃាត	ទី|សត្ត|ឃាត	ទ・ី・ស・ត・្・ត・ឃ・ា・ត
ទឹកចិត្ត	ទឹក|ចិត្ត	ទ・ឹ・ក・ច・ិ・ត・្・ត
ទុកចិត្ត	ទុក|ចិត្ត	ទ・ុ・ក・ច・ិ・ត・្・ត
ទុក្កដាបត្តិ	ទុក្កដាបត្តិ	ទ・ុ・ក・្・ក・ដ・ា・ប・ត・្・ត・ិ
ទុតិយាវិភត្តិ	ទុតិយា|វិភត្តិ	ទ・ុ・ត・ិ・យ・ា・វ・ិ・ភ・ត・្・ត・ិ
ទុព្វចមិត្ត	ទុព្វ|ចមិត្ត	ទ・ុ・ព・្・វ・ច・ម・ិ・ត・្・ត
ទេវទត្ត	ទេវទត្ត	ទ・េ・វ・ទ・ត・្・ត
ទេវបុត្ត	ទេវ|បុត្ត	ទ・េ・វ・ប・ុ・ត・្・ត
ទេវបុត្តមារ	ទេវ|បុត្តមារ	ទ・េ・វ・ប・ុ・ត・្・ត・ម・ា・រ
ទោសចិត្ត	ទោស|ចិត្ត	ទ・ោ・ស・ច・ិ・ត・្・ត
ទ្រព្យសម្បត្តិ	ទ្រព្យ|សម្បត្តិ	ទ・្・រ・ព・្・យ・ស・ម・្・ប・ត・្・ត・ិ
